"","doc_id","paragraph_id","sentence_id","sentence","token_id","token","lemma","upos","xpos","feats","head_token_id","dep_rel","deps","misc","value"
"128","doc128",1,1,"big","1","big","big","ADJ","JJ","Degree=Pos","0","root",NA,"SpacesAfter=\n",33
"129","doc129",1,1,"results","1","results","result","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n",33
"130","doc130",1,1,"must","1","must","must","AUX","MD","VerbForm=Fin","0","root",NA,"SpacesAfter=\n",33
"131","doc131",1,1,"processing","1","processing","processing","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",33
"132","doc132",1,1,"regression","1","regression","regression","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",32
"133","doc133",1,1,"technology","1","technology","technology","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",32
"134","doc134",1,1,"concepts","1","concepts","concept","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n",32
"135","doc135",1,1,"create","1","create","create","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,"SpacesAfter=\n",32
"136","doc136",1,1,"engineers","1","engineers","engineer","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n",32
"137","doc137",1,1,"spark","1","spark","spark","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",32
"138","doc138",1,1,"applied","1","applied","apply","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,"SpacesAfter=\n",31
"139","doc139",1,1,"dental","1","dental","dental","ADJ","JJ","Degree=Pos","0","root",NA,"SpacesAfter=\n",31
"140","doc140",1,1,"economics","1","economics","economics","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n",30
"141","doc141",1,1,"learn","1","learn","learn","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,"SpacesAfter=\n",29
"142","doc142",1,1,"expertise","1","expertise","expertise","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",29
"143","doc143",1,1,"internal","1","internal","internal","ADJ","JJ","Degree=Pos","0","root",NA,"SpacesAfter=\n",29
"144","doc144",1,1,"reports","1","reports","report","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n",29
"145","doc145",1,1,"processes","1","processes","processes","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n",29
"146","doc146",1,1,"problem","1","problem","problem","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",29
"147","doc147",1,1,"performance","1","performance","performance","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",29
"148","doc148",1,1,"customer","1","customer","customer","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",29
"149","doc149",1,1,"client","1","client","client","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",28
"150","doc150",1,1,"apply","1","apply","apply","VERB","VB","VerbForm=Inf","0","root",NA,"SpacesAfter=\n",28
"151","doc151",1,1,"reporting","1","reporting","report","VERB","VBG","VerbForm=Ger","0","root",NA,"SpacesAfter=\n",28
"152","doc152",1,1,"needs","1","needs","need","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n",28
"153","doc153",1,1,"least","1","least","least","ADV","RBS","Degree=Sup","0","root",NA,"SpacesAfter=\n",28
"154","doc154",1,1,"visualization","1","visualization","visualization","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",28
"155","doc155",1,1,"vision","1","vision","vision","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",28
"156","doc156",1,1,"program","1","program","program","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",27
"157","doc157",1,1,"bachelor������s","1","bachelor","bachelor","NOUN","NN","Number=Sing","2","compound",NA,"SpaceAfter=No",27
"159","doc158",1,1,"familiarity","1","familiarity","familiarity","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",27
"160","doc159",1,1,"practices","1","practices","practice","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n",27
"161","doc160",1,1,"quality","1","quality","quality","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",27
"162","doc161",1,1,"various","1","various","various","ADJ","JJ","Degree=Pos","0","root",NA,"SpacesAfter=\n",27
"163","doc162",1,1,"written","1","written","write","VERB","VBN","Tense=Past|VerbForm=Part","0","root",NA,"SpacesAfter=\n",27
"164","doc163",1,1,"solve","1","solve","solve","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,"SpacesAfter=\n",26
"165","doc164",1,1,"mining","1","mining","mine","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",26
"166","doc165",1,1,"marketing","1","marketing","marketing","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",26
"167","doc166",1,1,"databases","1","databases","database","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n",26
"168","doc167",1,1,"leadership","1","leadership","leadership","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n",26
"169","doc168",1,1,"key","1","key","key","ADJ","JJ","Degree=Pos","0","root",NA,"SpacesAfter=\n",26
